"TowerHeight","NumShoes","TVALUE","Attempt","betf.rate","crtv.rate","Category","CountryCode","Country","Gender_code","OccupationCode","Occupation_description","Score","Gender","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Occupation_Category"
"114","45","2.53333333333333",1,"6","5","Pyramid ST",187," United States of America",1,14,"Education, training, or library",59,"Male",5,3,9,3,7,5,6,9,5,7,"Education/Training"
"70","6","11.6666666666667",10,"6","5","Gladiolus ST",137," Poland",0,15,"Arts, design, entertainment, sports, or media",65,"Female",8,8,5,3,5,7,8,9,8,4,"Arts Design Sports Media"
"54","6","9",5,"3","4","Pyramid ST + Gladiolus ST",10," Austria",1,25,"Office or administrative support",56,"Male",7,8,1,7,6,6,6,4,7,4,"Management/Professional"
"66","19","3.47368421052632",5,"5","5","Pyramid ST",187," United States of America",1,10,"Drafters, engineering, or mapping technicians",18,"Male",3,1,1,1,3,2,3,1,1,2,"Engineering"
"56","12","4.66666666666667",5,"10","2","Pyramid ST",187," United States of America",1,8,"Computer or mathematical",45,"Male",5,1,7,3,6,4,6,7,1,5,"Management/Professional"
"72","12","6",5,"7","2","Pyramid ST",185," United Kingdom of Great Britain and Northern I",1,2,"Management: business or  financial operations occupations",62,"Male",8,7,8,4,7,7,7,2,8,4,"Management/Professional"
"57","8","7.125",5,"5","5","Unknown",186," United Republic of Tanzania",0,5,"Business and financial operations",39,"Female",1,3,8,3,2,7,3,5,2,5,"Management/Professional"
"65","10","6.5",5,"4","4","Pyramid ST + Gladiolus ST",78," India",0,9,"Architects, surveyors, cartographers, or engineers",50,"Female",1,9,8,1,3,2,9,7,2,8,"Engineering"
"87","28","3.10714285714286",5,"7","10","Brick Wall ST",36," China",1,7,"Financial specialists",47,"Male",5,5,7,7,3,4,7,1,5,3,"Management/Professional"
"69","9","7.66666666666667",5,"10","7","Bridge ST",36," China",1,2,"Management: business or  financial operations occupations",46,"Male",2,7,5,1,5,5,5,7,4,5,"Management/Professional"
"57","116","0.491379310344828",5,"6","7","Pile ST",147," Saint Vincent and the Grenadines",1,25,"Office or administrative support",46,"Male",4,5,6,4,5,4,5,5,3,5,"Management/Professional"
"70","43","1.62790697674419",5,"6","4","Brick Wall ST",36," China",1,15,"Arts, design, entertainment, sports, or media",49,"Male",2,5,2,4,7,8,2,8,4,7,"Arts Design Sports Media"
"112","10","11.2",10,"5","4","Gladiolus ST",122," Netherlands",0,2,"Management: business or  financial operations occupations",43,"Female",2,5,3,3,4,4,3,8,7,4,"Management/Professional"
"38","16","2.375",5,"8","3","Gladiolus ST",36," China",0,2,"Management: business or  financial operations occupations",54,"Female",5,5,7,3,7,4,8,5,5,5,"Management/Professional"
"42","20","2.1",5,"7","3","Pyramid ST",36," China",1,14,"Education, training, or library",37,"Male",2,8,7,2,2,3,2,1,2,8,"Education/Training"
"50","8","6.25",5,"8","2","Pyramid ST",185," United Kingdom of Great Britain and Northern I",1,23,"Life, physical, or social science",40,"Male",3,3,8,3,3,5,3,2,5,5,"Science"
"35","66","0.53030303030303",5,"7","7","Pile ST",51," Dominican Republic",1,15,"Arts, design, entertainment, sports, or media",33,"Male",3,7,5,1,2,5,1,1,1,7,"Arts Design Sports Media"
"57.5","16","3.59375",5,"7","6","Pile ST",53," Egypt",1,8,"Computer or mathematical",22,"Male",1,1,5,1,3,1,3,3,2,2,"Management/Professional"
"84","14","6",5,"1","5","Brick Wall ST",1357," Zimbabwe",0,32,"Supervisors, transportation or material moving",58,"Female",6,7,8,3,6,5,5,8,5,5,"Management/Professional"
"75","12","6.25",5,"7","5","Unknown",36," China",1,14,"Education, training, or library",41,"Male",5,6,3,1,5,6,3,3,5,4,"Education/Training"
"62.3","9","6.92222222222222",5,"7","6","Bridge ST",36," China",0,11,"Life, physical, or social science",29,"Female",1,3,2,4,5,3,3,1,2,5,"Science"
"68","15","4.53333333333333",5,"3","2","Pyramid ST",143," Russian Federation",1,15,"Arts, design, entertainment, sports, or media",70,"Male",9,9,9,9,5,9,1,5,9,5,"Arts Design Sports Media"
"152","81","1.87654320987654",5,"8","6","Brick Wall ST",111," Mexico",1,14,"Education, training, or library",18,"Male",2,2,1,2,2,2,2,1,2,2,"Education/Training"
"64","15","4.26666666666667",10,"6","5","Brick Wall ST",78," India",1,2,"Management: business or  financial operations occupations",42,"Male",2,3,3,5,6,3,7,3,3,7,"Management/Professional"
"86","30","2.86666666666667",5,"8","6","Pyramid ST",187," United States of America",1,1,"Management: professional or related occupations",49,"Male",5,3,6,2,7,5,5,3,7,6,"Management/Professional"
"62","5","12.4",5,"5","4","Bridge ST",35," Chile",1,1,"Management: professional or related occupations",35,"Male",1,7,2,3,3,8,1,4,4,2,"Management/Professional"
"80","29","2.75862068965517",5,"6","5","Pyramid ST",187," United States of America",1,1,"Management: professional or related occupations",32,"Male",3,3,7,2,5,2,2,3,3,2,"Management/Professional"
"60","16","3.75",5,"8","9","Pyramid ST",36," China",1,14,"Education, training, or library",41,"Male",3,8,1,3,1,9,1,5,3,7,"Education/Training"
"97","33","2.93939393939394",5,"8","8","Pyramid ST",36," China",0,20,"Other protective service workers (including supervisors)",48,"Female",3,8,2,3,7,7,3,5,3,7,"Services"
"67","16","4.1875",5,"8","7","Pyramid ST",187," United States of America",1,15,"Arts, design, entertainment, sports, or media",45,"Male",2,6,1,5,4,7,8,4,2,6,"Arts Design Sports Media"
"112","98","1.14285714285714",5,"8","8","Pyramid ST",67," Greece",0,15,"Arts, design, entertainment, sports, or media",42,"Female",3,9,7,4,5,4,1,2,1,6,"Arts Design Sports Media"
"90","23","3.91304347826087",5,"6","7","Unknown",36," China",1,15,"Arts, design, entertainment, sports, or media",41,"Male",3,3,2,7,5,8,2,3,3,5,"Arts Design Sports Media"
"83","17","4.88235294117647",5,"7","7","Unknown",126," Nigeria",0,8,"Computer or mathematical",42,"Female",1,8,7,1,5,2,9,1,1,7,"Management/Professional"
"64","20","3.2",5,"6","8","Pile ST",67," Greece",0,10,"Drafters, engineering, or mapping technicians",75,"Female",7,8,8,8,9,9,2,8,8,8,"Engineering"
"83","7","11.8571428571429",5,"8","9","Bridge ST",111," Mexico",0,9,"Architects, surveyors, cartographers, or engineers",44,"Female",1,3,3,5,3,8,3,7,3,8,"Engineering"
"82","2","41",5,"8","7","Gladiolus ST",9," Australia",0,9,"Architects, surveyors, cartographers, or engineers",52,"Female",3,5,3,7,7,9,3,3,5,7,"Engineering"
"45.72","16","2.8575",5,"5","4","Brick Wall ST",187," United States of America",1,15,"Arts, design, entertainment, sports, or media",32,"Male",3,2,2,4,3,3,3,7,2,3,"Arts Design Sports Media"
"80","4","20",5,"9","8","Gladiolus ST",9," Australia",0,8,"Computer or mathematical",29,"Female",2,3,3,5,2,3,3,2,3,3,"Management/Professional"
"91.5","24","3.8125",5,"2","2","Pyramid ST",187," United States of America",1,9,"Architects, surveyors, cartographers, or engineers",46,"Male",7,2,8,5,4,3,9,3,2,3,"Engineering"
"94","15","6.26666666666667",5,"7","9","Pyramid ST + Gladiolus ST",67," Greece",1,1,"Management: professional or related occupations",32,"Male",2,2,3,3,3,4,5,2,1,7,"Management/Professional"
"51","34","1.5",5,"10","10","Brick Wall ST",187," United States of America",1,15,"Arts, design, entertainment, sports, or media",42,"Male",5,9,1,1,5,1,9,1,1,9,"Arts Design Sports Media"
"62","13","4.76923076923077",5,"6","5","Pyramid ST",36," China",0,7,"Financial specialists",41,"Female",7,4,2,6,5,4,2,4,1,6,"Management/Professional"
"93.5","12","7.79166666666667",5,"9","9","Gladiolus ST",36," China",0,9,"Architects, surveyors, cartographers, or engineers",34,"Female",2,6,3,2,3,5,3,3,3,4,"Engineering"
"67","19","3.52631578947368",10,"5","6","Unknown",36," China",1,10,"Drafters, engineering, or mapping technicians",44,"Male",2,4,2,2,2,8,2,8,8,6,"Engineering"
"52","9","5.77777777777778",5,"6","4","Pyramid ST",53," Egypt",1,8,"Computer or mathematical",50,"Male",2,5,8,3,7,2,8,7,5,3,"Management/Professional"
"40","10","4",5,"5","6","Brick Wall ST",36," China",1,2,"Management: business or  financial operations occupations",26,"Male",2,5,3,2,2,2,5,1,2,2,"Management/Professional"
"72","16","4.5",5,"5","2","Pyramid ST",36," China",0,8,"Computer or mathematical",15,"Female",1,1,1,2,1,2,2,1,2,2,"Management/Professional"
"74","9","8.22222222222222",5,"8","6","Brick Wall ST",36," China",0,8,"Computer or mathematical",53,"Female",7,2,6,7,5,5,2,5,7,7,"Management/Professional"
"14","6","2.33333333333333",5,"5","2","Brick Wall ST",78," India",0,1,"Management: professional or related occupations",45,"Female",2,2,1,9,2,9,9,8,1,2,"Management/Professional"
"41.5","8","5.1875",5,"6","5","Brick Wall ST",78," India",0,1,"Management: professional or related occupations",58,"Female",2,8,9,3,7,8,1,9,2,9,"Management/Professional"
"106","20","5.3",5,"6","8","Brick Wall ST",78," India",0,1,"Management: professional or related occupations",39,"Female",2,3,7,1,7,8,2,4,2,3,"Management/Professional"
"60","24","2.5",5,"10","8","Brick Wall ST",136," Philippines",1,15,"Arts, design, entertainment, sports, or media",54,"Male",7,1,9,7,7,8,2,3,5,5,"Arts Design Sports Media"
"150","14","10.7142857142857",5,"7","7","Brick Wall ST",36," China",0,9,"Architects, surveyors, cartographers, or engineers",49,"Female",2,7,2,6,2,8,1,6,8,7,"Engineering"
"220","26","8.46153846153846",10,"8","7","Floor ST",61," France",1,15,"Arts, design, entertainment, sports, or media",60,"Male",5,5,7,3,9,8,7,2,5,9,"Arts Design Sports Media"
"48","8","6",5,"3","6","Unknown",78," India",0,2,"Management: business or  financial operations occupations",33,"Female",2,2,2,3,2,8,8,2,2,2,"Management/Professional"
"65","16","4.0625",5,"8","7","Brick Wall ST",187," United States of America",0,13,"Legal",41,"Female",1,3,3,3,7,8,1,1,7,7,"Management/Professional"
"91","20","4.55",5,"9","5","Brick Wall ST",185," United Kingdom of Great Britain and Northern I",0,9,"Drafters, engineering, or mapping technicians",56,"Female",8,8,2,2,8,8,2,8,2,8,"Engineering"
